,Año,Kilómetros,Precio,Corolla Cross,Hilux SW4,RAV4,Diésel,Eléctrico,Híbrido,Nafta,Automática,Manual,1,1.8,2.0,2.4,2.5,2.7,2.8,3.0
204,2013,120000,27000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
205,2021,8935,50000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
206,2022,37000,27272.727272727272,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
207,2014,148000,21000.0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
208,2023,18644,35000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
209,2019,62033,37224.88038277512,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
210,2023,0,58851.674641148325,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
211,2014,190000,25900.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
212,2024,1000,29747.36842105263,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
213,2012,145000,14500.0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
214,2021,27000,29665.07177033493,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
215,2023,0,54500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
216,2002,275000,10500.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
217,2022,13000,65000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
218,2023,40000,47368.42105263158,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
219,2024,1500,29760.76555023924,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
220,2022,50000,47500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
221,2024,0,32516.74641148325,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
222,2009,325000,12500.0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
223,2023,0,54880.382775119615,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
224,2020,57000,43000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
225,2005,270000,15800.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
226,2016,120000,32535.88516746412,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
227,2021,28000,42000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
228,2023,2500,65000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
229,2022,16000,49500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
230,2023,0,37500.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
231,2024,0,53687.36842105263,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
232,2012,150000,13875.598086124402,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
233,2011,307000,18000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
234,2021,43000,53000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
235,2022,17500,28708.133971291867,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
236,2012,220662,26000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
237,2023,2100,53000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
238,2024,500,35500.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
239,2024,0,32440.191387559807,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
240,2016,107000,31300.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
241,2023,32000,59900.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
242,2017,150000,34449.76076555024,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
243,2023,41000,52000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
244,2021,12037,29483.253588516745,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
245,2022,8300,35000.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
